Selected Treasury Bill Yields


Weekly (Tuesday) series: 2011-01-04 - 2017-07-25
V80691303 = Treasury bill auction - average yields - 3 month

Summary,Date,V80691303
Low,2015-09-08,0.37
High,2012-04-24,1.04
Average,2011-01-04 - 2017-07-25,0.78

Date,V80691303
2014-09-23, 0.92
2014-09-16, --
2014-09-09, 0.93
2014-09-02, --
2014-08-26, 0.94
2014-08-19, --
2014-08-12, 0.95
2014-08-05, --
2014-07-29, 0.95
2014-07-22, --
2014-07-15, 0.94
2014-07-08, --
2014-07-01, 0.94
2014-06-24, --
2014-06-17, 0.93
2014-06-10, --
2014-06-03, 0.93
2014-05-27, --
2014-05-20, 0.92
2014-05-13, --
2014-05-06, 0.93
2014-04-29, --
2014-04-22, 0.94
2014-04-15, --
2014-04-08, 0.91
2014-04-01, --
2014-03-25, 0.88
2014-03-18, --
2014-03-11, 0.83
2014-03-04, --
2014-02-25, 0.87
2014-02-18, --
2014-02-11, 0.88
2014-02-04, --
2014-01-28, 0.89
2014-01-21, --
2014-01-14, 0.89
2014-01-07, --
2013-12-31, 0.89
2013-12-24, --
2013-12-17, 0.90
2013-12-10, --
2013-12-03, 0.93
2013-11-26, --
2013-11-19, 0.94
2013-11-12, --
2013-11-05, 0.89
2013-10-29, --
2013-10-22, 0.92
2013-10-15, --
2013-10-08, 0.96
2013-10-01, --
2013-09-24, 0.99
2013-09-17, --
2013-09-10, 0.99
2013-09-03, --
2013-08-27, 1.00
2013-08-20, --
2013-08-13, 1.00
2013-08-06, --
2013-07-30, 1.01
2013-07-23, --
2013-07-16, 1.02
2013-07-09, --
2013-07-02, 1.02
2013-06-25, --
2013-06-18, 1.02
2013-06-11, --
2013-06-04, 1.02
2013-05-28, --
2013-05-21, 1.00
2013-05-14, --
2013-05-07, 1.00
2013-04-30, --
2013-04-23, 0.99
2013-04-16, --
2013-04-09, 0.97
2013-04-02, --
2013-03-26, 0.98
2013-03-19, --
2013-03-12, 0.96
2013-03-05, --
2013-02-26, 0.96
2013-02-19, --
2013-02-12, 0.94
2013-02-05, --
2013-01-29, 0.93
2013-01-22, --
2013-01-15, 0.93
2013-01-08, --
2013-01-01, 0.94
2012-12-25, --
2012-12-18, 0.98
2012-12-11, --
2012-12-04, 0.98
2012-11-27, --
2012-11-20, 0.99
2012-11-13, --
2012-11-06, 0.99
2012-10-30, --
2012-10-23, 1.00
2012-10-16, --
2012-10-09, 0.99
2012-10-02, --
2012-09-25, 1.00
2012-09-18, --
2012-09-11, 1.03
2012-09-04, --
2012-08-28, 1.03
2012-08-21, --
2012-08-14, 1.01
2012-08-07, --
2012-07-31, 0.97
2012-07-24, --
2012-07-17, 0.89
2012-07-10, --
2012-07-03, 0.89
2012-06-26, --
2012-06-19, 0.90
2012-06-12, --
2012-06-05, 0.92
2012-05-29, --
2012-05-22, 1.01
2012-05-15, --
2012-05-08, 1.03
2012-05-01, --
2012-04-24, 1.04
2012-04-17, --
2012-04-10, 0.94
2012-04-03, --
2012-03-27, 0.93
2012-03-20, --
2012-03-13, 0.92
2012-03-06, --
2012-02-28, 0.94
2012-02-21, --
2012-02-14, 0.93
2012-02-07, --
2012-01-31, 0.88
2012-01-24, --
2012-01-17, 0.82
2012-01-10, --
2012-01-03, 0.83
2011-12-27, --
2011-12-20, 0.83
2011-12-13, --
2011-12-06, 0.84
2011-11-29, --
2011-11-22, 0.89
2011-11-15, --
2011-11-08, 0.91
2011-11-01, --
2011-10-25, 0.87
2011-10-18, --
2011-10-11, 0.86
2011-10-04, --
2011-09-27, 0.87
2011-09-20, --
2011-09-13, 0.90
2011-09-06, --
2011-08-30, 0.93
2011-08-23, --
2011-08-16, 0.85
2011-08-09, --
2011-08-02, 0.92
2011-07-26, --
2011-07-19, 0.93
2011-07-12, --
2011-07-05, 0.93
2011-06-28, --
2011-06-21, 0.92
2011-06-14, --
2011-06-07, 0.95
2011-05-31, --
2011-05-24, 0.96
2011-05-17, --
2011-05-10, 0.98
2011-05-03, --
2011-04-26, 0.98
2011-04-19, --
2011-04-12, 0.97
2011-04-05, --
2011-03-29, 0.92
2011-03-22, --
2011-03-15, 0.94
2011-03-08, --
2011-03-01, 0.97
2011-02-22, --
2011-02-15, 0.97
2011-02-08, --
2011-02-01, 0.97
2011-01-25, --
2011-01-18, 0.99
2011-01-11, --
2011-01-04, 1.00
