City,StateProvinceName,CountryRegionName,PostalCode,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,AgeInYears,BikeBuyer,AvgMonthSpend
Bracknell,England,United Kingdom,RG12 8TB,High School,Skilled Manual,F,M,0,2,0,0,59673,19,0,48.54
Coronado,California,United States,92118,Bachelors,Professional,M,M,1,3,1,2,133272,54,1,56.63
Pantin,Seine Saint Denis,France,93500,Partial College,Clerical,M,S,1,3,0,1,81957,54,0,50.09
Hamburg,Hamburg,Germany,20354,Partial College,Management,F,S,0,1,0,0,103314,22,0,52.78
Bendigo,Victoria,Australia,3550,Graduate Degree,Management,F,S,1,2,0,0,103546,30,1,51.61
Tremblay-en-France,Seine Saint Denis,France,93290,Bachelors,Skilled Manual,M,M,0,0,1,1,58317,29,1,48.05
Concord,California,United States,94519,Bachelors,Skilled Manual,M,M,1,2,0,2,55825,56,0,48.53
Sydney,New South Wales,Australia,1002,Graduate Degree,Manual,F,S,0,1,0,0,36367,31,0,48.33
London,England,United Kingdom,W1Y 3RA,Bachelors,Management,F,S,0,2,0,0,107852,28,1,54.89
Rhodes,New South Wales,Australia,2138,Bachelors,Management,M,M,1,0,0,0,105888,20,0,51.31
Royal Oak,British Columbia,Canada,V8X,Partial High School,Manual,M,S,0,1,0,0,31956,41,0,50.51
Brisbane,Queensland,Australia,4000,High School,Clerical,F,M,0,0,0,0,83026,19,1,50.25
Townsville,Queensland,Australia,4810,Graduate Degree,Management,M,S,1,2,0,0,110808,30,1,56.85
Colomiers,Garonne (Haute),France,31770,Partial High School,Skilled Manual,F,M,1,1,2,2,51566,48,1,50.94
Lemon Grove,California,United States,91945,Bachelors,Professional,F,M,1,3,1,2,132962,33,1,54.67
Port Orchard,Washington,United States,98366,Graduate Degree,Professional,M,S,1,2,0,0,135064,44,1,55.61
Oak Bay,British Columbia,Canada,V8P,Graduate Degree,Professional,F,S,1,2,0,0,135997,44,1,54.2
Palo Alto,California,United States,94303,High School,Skilled Manual,F,S,0,1,0,0,57770,25,0,49.68
Coronado,California,United States,92118,Bachelors,Management,M,S,0,1,0,0,113290,24,0,54.55
Stuttgart,Saarland,Germany,70511,Partial College,Clerical,F,M,1,1,1,2,81214,55,0,54.11
Saint Germain en Laye,Yveline,France,78100,Bachelors,Clerical,F,M,1,2,0,2,80624,36,0,49.58
München,Hamburg,Germany,80074,Bachelors,Management,F,S,1,2,0,1,106908,51,0,53.03
Brisbane,Queensland,Australia,4000,Bachelors,Skilled Manual,M,S,0,1,0,0,51796,32,0,56.24
Los Angeles,California,United States,90012,Graduate Degree,Clerical,M,M,1,2,1,2,80764,26,1,52.27
Gateshead,England,United Kingdom,GA10,Partial High School,Manual,F,M,0,0,0,1,35297,32,0,47.28
Redmond,Washington,United States,98052,Partial College,Clerical,F,S,0,1,0,0,78604,19,0,51.54
Colma,California,United States,94014,Bachelors,Management,M,M,1,3,0,0,102869,33,0,57.71
Oak Bay,British Columbia,Canada,V8P,High School,Skilled Manual,M,M,1,1,1,2,62293,41,1,54.24
York,England,United Kingdom,Y024 1GF,Partial College,Manual,M,S,0,1,0,0,34607,35,1,48.11
Bremerton,Washington,United States,98312,Partial College,Skilled Manual,F,M,1,2,1,2,53042,40,1,50.06
Melton,Victoria,Australia,3337,Bachelors,Management,F,S,0,1,0,0,106195,26,0,55.41
Downey,California,United States,90241,Partial College,Management,F,M,1,2,0,2,106360,44,1,51.7
Lincoln Acres,California,United States,91950,Partial College,Management,M,M,1,2,1,1,110288,38,1,54.03
Renton,Washington,United States,98055,Graduate Degree,Management,M,S,0,1,0,0,112590,24,1,52.71
Downey,California,United States,90241,Partial College,Manual,M,M,1,0,1,2,30844,47,1,52.73
Lakewood,California,United States,90712,Graduate Degree,Management,M,M,1,2,0,3,109611,56,0,51
Sooke,British Columbia,Canada,V0,Partial College,Management,F,S,1,2,0,0,111685,30,1,52.96
National City,California,United States,91950,Graduate Degree,Manual,F,S,1,0,1,1,30259,58,1,49.14
Imperial Beach,California,United States,91932,Partial College,Clerical,M,S,0,2,0,0,82339,21,0,52.62
Burien,Washington,United States,98168,High School,Clerical,M,S,1,1,0,0,87633,35,1,61.12
Burlingame,California,United States,94010,Graduate Degree,Clerical,M,S,0,1,0,0,80782,27,1,51.66
Lebanon,Oregon,United States,97355,Partial College,Skilled Manual,F,M,1,1,0,2,57125,40,1,48.74
Villeneuve-d'Ascq,Nord,France,59491,Bachelors,Skilled Manual,M,S,0,2,0,0,56092,36,1,50.33
Ballard,Washington,United States,98107,Graduate Degree,Professional,F,M,1,2,0,0,131943,37,1,52.71
Coffs Harbour,New South Wales,Australia,2450,Partial High School,Skilled Manual,M,M,1,2,0,2,52627,47,0,50.78
Beverly Hills,California,United States,90210,Partial College,Manual,M,M,1,1,0,2,26331,36,0,53.52
Cranbourne,Victoria,Australia,3977,Bachelors,Manual,M,S,0,1,0,0,27908,22,0,48.73
Berlin,Hamburg,Germany,14111,High School,Skilled Manual,M,S,0,1,0,0,56751,31,0,60.78
Solingen,Nordrhein-Westfalen,Germany,42651,Bachelors,Manual,M,M,1,1,1,2,32619,43,1,57.06
Burlingame,California,United States,94010,Bachelors,Management,F,M,1,3,0,0,105983,31,0,51.26
Burlingame,California,United States,94010,Graduate Degree,Professional,F,M,1,1,1,2,128877,26,1,52.95
Findon,South Australia,Australia,5023,High School,Skilled Manual,F,S,1,2,1,1,55000,52,1,49.93
Newton,British Columbia,Canada,V2L3W8,High School,Skilled Manual,F,S,0,1,0,0,50910,21,0,48.8
Paris,Seine (Paris),France,75003,Partial College,Skilled Manual,M,M,1,2,1,1,57493,31,1,52.42
Essen,Hamburg,Germany,45001,Partial College,Clerical,F,S,1,0,1,1,82095,54,1,53.16
Silverwater,New South Wales,Australia,2264,Bachelors,Professional,M,S,0,2,0,0,136001,21,0,56.7
Lavender Bay,New South Wales,Australia,2060,Bachelors,Management,F,M,1,3,0,0,104443,29,1,51.04
Seattle,Washington,United States,98104,Partial College,Skilled Manual,F,S,0,1,0,0,59013,32,0,49.99
Seattle,Washington,United States,98104,Partial College,Skilled Manual,M,S,0,1,0,0,54240,37,0,56.33
Edmonds,Washington,United States,98020,Bachelors,Management,F,M,1,3,0,2,103150,49,1,50.8
Walla Walla,Washington,United States,99362,Partial College,Management,F,M,1,3,1,2,108823,36,1,53.12
Pantin,Seine Saint Denis,France,93500,High School,Clerical,F,S,0,2,0,0,77300,20,0,53.95
Spring Valley,California,United States,91977,Partial College,Clerical,F,M,1,2,0,1,82308,39,1,49.8
Lincoln Acres,California,United States,91950,Graduate Degree,Professional,F,S,1,1,0,0,129719,39,0,56.22
Leipzig,Nordrhein-Westfalen,Germany,4139,Partial College,Manual,M,S,0,0,0,0,36588,21,0,46.38
Berkeley,California,United States,94704,Partial College,Clerical,F,S,1,3,0,0,81053,39,0,50.38
Paris,Seine (Paris),France,75002,High School,Manual,F,M,1,0,2,2,35160,45,1,48.62
München,Nordrhein-Westfalen,Germany,80074,High School,Skilled Manual,M,S,1,1,0,0,57655,40,0,57.32
Portland,Oregon,United States,97205,Partial High School,Skilled Manual,M,M,1,2,1,1,61513,42,1,57.36
Kirkland,Washington,United States,98033,High School,Skilled Manual,M,M,0,0,0,0,57933,16,1,48.84
Vancouver,British Columbia,Canada,V7L 4J4,Bachelors,Management,M,S,0,2,0,0,104429,23,1,54.84
Burbank,California,United States,91502,High School,Manual,M,M,1,0,0,2,32494,45,1,52.5
Spokane,Washington,United States,99202,High School,Skilled Manual,F,M,0,2,0,0,51293,18,0,48.28
Darmstadt,Hessen,Germany,64283,Partial College,Clerical,M,M,1,3,1,2,78805,51,1,49.99
Erlangen,Bayern,Germany,91054,Partial High School,Manual,M,S,0,1,0,0,33244,17,0,48.21
Bellingham,Washington,United States,98225,Partial College,Manual,M,M,1,1,1,1,30115,34,1,59.27
Goulburn,New South Wales,Australia,2580,Partial College,Skilled Manual,M,S,1,1,1,1,55404,50,1,50.3
Sunbury,Victoria,Australia,3429,Partial College,Manual,F,S,0,0,0,0,34165,44,0,47.46
Puyallup,Washington,United States,98371,High School,Skilled Manual,M,M,1,2,1,2,57132,40,1,53.79
Milton Keynes,England,United Kingdom,MK8 8DF,Graduate Degree,Professional,M,S,1,2,0,0,132560,27,0,52.2
Burien,Washington,United States,98168,High School,Skilled Manual,M,M,1,1,1,2,53062,42,1,54.72
Westminster,British Columbia,Canada,V3L 1E7,Bachelors,Clerical,F,M,1,0,1,2,79950,54,1,52.93
Woodland Hills,California,United States,91364,Bachelors,Clerical,M,M,1,2,0,1,83167,34,1,57.56
Neunkirchen,Saarland,Germany,66578,Partial College,Clerical,M,S,1,0,0,0,77729,34,1,51.78
Cergy,Val d'Oise,France,95000,Partial College,Skilled Manual,F,M,1,1,1,1,54058,43,1,48.36
Colma,California,United States,94014,Graduate Degree,Clerical,F,M,1,1,0,2,87071,37,1,50.5
Renton,Washington,United States,98055,High School,Manual,F,S,0,0,0,0,26818,22,0,47.15
Bremerton,Washington,United States,98312,Bachelors,Skilled Manual,M,M,1,0,0,2,52630,43,1,49.83
Paris,Seine (Paris),France,75006,Partial College,Clerical,M,M,1,2,0,2,83410,40,1,54.85
Darlinghurst,New South Wales,Australia,2010,Partial College,Clerical,F,M,1,2,1,2,83299,36,1,51.33
Torrance,California,United States,90505,Bachelors,Skilled Manual,F,S,1,1,1,1,54201,53,0,50.72
Oak Bay,British Columbia,Canada,V8P,Graduate Degree,Professional,F,S,1,2,0,0,133136,30,1,53.04
Metchosin,British Columbia,Canada,V9,Partial High School,Skilled Manual,M,S,0,2,0,0,60371,18,1,51.53
Westminster,British Columbia,Canada,V3L 1E7,Partial College,Skilled Manual,F,M,1,1,1,2,55220,40,1,48.65
Salem,Oregon,United States,97301,Partial College,Clerical,M,M,1,1,0,2,85098,37,0,53.81
Puyallup,Washington,United States,98371,Bachelors,Professional,M,S,1,2,0,0,129013,28,1,54.8
Portland,Oregon,United States,97205,Bachelors,Management,F,S,0,2,0,0,106013,29,1,55.82
Downey,California,United States,90241,Partial College,Clerical,F,S,0,2,0,0,77922,20,1,51.39
Colomiers,Garonne (Haute),France,31770,Graduate Degree,Management,F,M,1,3,0,0,104734,28,0,51.2
Berkeley,California,United States,94704,Partial College,Clerical,F,S,0,2,0,0,83202,23,0,53.98
Sydney,New South Wales,Australia,1002,High School,Skilled Manual,M,M,1,1,1,2,61391,53,1,50.08
N. Vancouver,British Columbia,Canada,V7L 4J4,High School,Clerical,F,S,1,0,0,0,82687,45,0,52.24
Erlangen,Bayern,Germany,91054,Partial College,Clerical,M,S,0,1,0,0,83361,21,0,50.99
Malabar,New South Wales,Australia,2036,Bachelors,Skilled Manual,F,M,0,2,0,0,57161,22,1,47.93
Warrington,England,United Kingdom,WA1,Graduate Degree,Management,F,M,1,3,1,2,109320,35,1,54.16
Newport Beach,California,United States,92625,Partial College,Manual,M,M,1,1,1,2,27866,37,0,58.64
Oak Bay,British Columbia,Canada,V8P,High School,Skilled Manual,F,S,1,1,0,0,53889,44,0,49.64
Caloundra,Queensland,Australia,4551,Partial High School,Skilled Manual,M,M,1,0,0,2,53916,49,1,48.5
Caloundra,Queensland,Australia,4551,High School,Skilled Manual,F,M,0,1,0,0,56880,17,0,48.52
Townsville,Queensland,Australia,4810,High School,Clerical,F,M,1,3,1,2,85533,40,1,53.51
W. Linn,Oregon,United States,97068,Bachelors,Management,F,S,1,1,0,0,109072,33,0,51.35
Paris,Seine (Paris),France,75003,Graduate Degree,Management,M,M,1,4,0,2,110148,35,0,52.17
Bremerton,Washington,United States,98312,Partial College,Management,F,M,1,2,1,2,103959,31,1,55.47
Edmonds,Washington,United States,98020,High School,Skilled Manual,F,S,0,1,0,0,54230,17,0,49.34
Port Orchard,Washington,United States,98366,Bachelors,Professional,F,S,1,2,0,0,133903,38,1,54.91
Colma,California,United States,94014,Bachelors,Clerical,M,S,1,1,0,0,79311,34,1,57.12
Glendale,California,United States,91203,Partial College,Clerical,F,M,1,2,0,2,84084,36,1,49.84
Fremont,California,United States,94536,Bachelors,Skilled Manual,M,S,0,2,0,0,54821,27,1,51.55
La Jolla,California,United States,92806,Partial College,Clerical,M,M,1,2,1,2,77748,42,1,56.89
Newcastle,New South Wales,Australia,2300,High School,Manual,M,M,1,0,2,2,27122,50,0,46.82
Dresden,Hessen,Germany,1071,Partial College,Skilled Manual,M,S,0,0,0,0,62520,33,1,50.43
Cerritos,California,United States,90703,Partial College,Skilled Manual,F,S,0,1,0,0,55096,18,0,48.2
Langford,British Columbia,Canada,V9,Bachelors,Clerical,M,M,1,2,1,2,83229,51,1,54.53
Malabar,New South Wales,Australia,2036,Bachelors,Skilled Manual,F,M,1,0,0,3,60347,57,0,48.28
Salem,Oregon,United States,97301,Partial College,Manual,F,M,0,0,1,1,27006,32,0,47.03
Saint Ouen,Charente-Maritime,France,17490,High School,Skilled Manual,M,S,1,0,0,0,56071,48,0,53.02
Lakewood,California,United States,90712,Partial College,Skilled Manual,M,S,1,0,0,0,51705,46,1,48.04
Novato,California,United States,94947,Graduate Degree,Clerical,M,M,1,0,1,2,87993,30,1,61.69
San Gabriel,California,United States,91776,Partial College,Clerical,F,M,1,2,0,2,81913,42,1,50.37
Melton,Victoria,Australia,3337,Bachelors,Skilled Manual,F,S,0,0,0,0,55838,33,1,51.84
Dresden,Hessen,Germany,1071,Partial College,Manual,F,S,0,1,0,0,32924,38,0,48.47
Kirkland,Washington,United States,98033,Bachelors,Professional,F,M,1,2,2,2,136633,37,1,52.44
Bremerton,Washington,United States,98312,Graduate Degree,Manual,M,M,1,1,0,3,28954,62,0,45.77
Oakland,California,United States,94611,Partial College,Clerical,M,M,1,1,0,1,78271,36,0,54.57
Yakima,Washington,United States,98901,Partial College,Skilled Manual,M,S,0,0,0,0,54082,22,1,52.55
Melton,Victoria,Australia,3337,Partial College,Management,F,S,1,2,0,0,102019,35,1,51.15
Gold Coast,Queensland,Australia,4217,Bachelors,Skilled Manual,M,M,1,1,0,2,58336,38,1,55.31
Rockhampton,Queensland,Australia,4700,Bachelors,Management,M,M,1,2,0,0,106235,29,1,50.93
Issaquah,Washington,United States,98027,Graduate Degree,Professional,M,M,1,1,0,2,132506,30,0,55.78
Mill Valley,California,United States,94941,Partial College,Skilled Manual,F,M,1,0,2,2,61547,39,1,52.04
Santa Cruz,California,United States,95062,Graduate Degree,Professional,M,S,1,2,1,1,134871,58,1,54.78
Esher-Molesey,England,United Kingdom,EM15,High School,Skilled Manual,F,S,0,1,0,0,51970,27,0,48.52
Marysville,Washington,United States,98270,Graduate Degree,Professional,F,S,1,3,0,0,129017,26,1,52.94
Milton Keynes,England,United Kingdom,MK8 8ZD,High School,Skilled Manual,F,S,1,1,0,0,51980,47,0,49.82
Matraville,New South Wales,Australia,2036,Bachelors,Management,F,S,0,1,0,0,107530,28,0,53.85
Santa Cruz,California,United States,95062,Graduate Degree,Clerical,M,M,1,1,0,1,80444,26,1,49.84
Coronado,California,United States,92118,Partial College,Management,F,S,1,2,0,0,105715,34,1,52.54
Colma,California,United States,94014,Graduate Degree,Clerical,M,S,1,0,0,1,77151,61,1,53.76
Imperial Beach,California,United States,91932,Bachelors,Clerical,F,M,1,1,0,2,81669,39,0,50.68
Milwaukie,Oregon,United States,97222,Graduate Degree,Clerical,F,S,0,2,0,0,81432,30,0,53.33
Coffs Harbour,New South Wales,Australia,2450,Bachelors,Manual,M,S,0,0,0,0,34298,20,1,49.64
Dunkerque,Nord,France,59140,Bachelors,Management,F,M,1,1,0,2,107934,38,0,50.55
Port Hammond,British Columbia,Canada,V6B 3P7,Graduate Degree,Management,F,S,0,2,0,0,109457,23,1,55.18
Newport Beach,California,United States,92625,Bachelors,Skilled Manual,M,M,0,1,1,1,54266,27,1,48.71
Saint Germain en Laye,Yveline,France,78100,High School,Manual,F,S,0,0,0,0,26150,28,0,45.07
San Gabriel,California,United States,91776,Graduate Degree,Management,M,M,1,3,1,2,112302,30,1,65.29
Newport Beach,California,United States,92625,Graduate Degree,Clerical,F,M,1,3,1,1,81542,37,1,52.28
Metchosin,British Columbia,Canada,V9,High School,Skilled Manual,M,M,1,2,1,2,51854,45,1,48.96
Spokane,Washington,United States,99202,Bachelors,Skilled Manual,F,S,0,0,0,0,54153,31,1,49.83
Milsons Point,New South Wales,Australia,2061,Bachelors,Management,M,S,1,1,0,0,105736,33,0,60.95
Warrington,England,United Kingdom,WA1,Partial College,Skilled Manual,F,S,0,2,0,0,54626,18,1,49.02
Coffs Harbour,New South Wales,Australia,2450,Bachelors,Clerical,M,M,0,2,0,0,83144,18,1,49.95
N. Vancouver,British Columbia,Canada,V7L 4J4,Graduate Degree,Professional,M,M,1,2,2,2,135029,56,1,52.19
Burlingame,California,United States,94010,Bachelors,Skilled Manual,F,M,1,0,0,2,52476,50,1,48.37
Offenbach,Saarland,Germany,63009,Bachelors,Clerical,F,S,1,0,0,0,84807,43,0,51.68
Colma,California,United States,94014,High School,Manual,F,S,0,0,0,0,36634,21,1,47.45
National City,California,United States,91950,Bachelors,Clerical,F,S,0,3,0,0,84866,27,0,52.34
Newton,British Columbia,Canada,V2M1S6,Bachelors,Clerical,M,M,1,1,1,2,79867,26,1,51.3
Sedro Woolley,Washington,United States,98284,Graduate Degree,Skilled Manual,M,M,1,0,0,2,51783,55,0,48.34
